X,Y,fid,full_id,osm_id,osm_type,material,descriptio,icon_url
-0.1234156,49.2925930999873,87,n1392009893,"1392009893",node,,,./0.png
-0.1090424,49.2955292999873,88,n5020605461,"5020605461",node,,,./0.png
-0.1241608,49.2924409999873,89,n1392009877,"1392009877",node,,,./0.png
-0.1080097,49.2957383999873,90,n5020609253,"5020609253",node,,,./0.png
-0.1094544,49.2954442999873,91,n5020605464,"5020605464",node,,,./0.png
-0.1152266,49.2934673999873,92,n2244481131,"2244481131",node,,,./0.png
-0.1094004,49.2954540999873,93,n5020605463,"5020605463",node,,,./0.png
-0.1233596,49.2926009999873,94,n1392009898,"1392009898",node,,,./0.png
-0.1080637,49.2957284999873,95,n5020605458,"5020605458",node,,,./0.png
-0.1151447,49.2932628999873,96,n2244481111,"2244481111",node,,,./0.png
-0.1063779,49.2960791999873,97,n5020609250,"5020609250",node,,,./0.png
-0.1157881,49.2933504999873,98,n2244481122,"2244481122",node,,,./0.png
-0.1063239,49.2960890999873,99,n5020609249,"5020609249",node,,,./0.png
-0.1087584,49.2955859999873,100,n5020605460,"5020605460",node,,,./0.png
-0.1069103,49.2959672999873,101,n5020609252,"5020609252",node,,,./0.png
-0.1087044,49.2955957999873,102,n5020605459,"5020605459",node,,,./0.png
-0.1068564,49.2959770999873,103,n5020609251,"5020609251",node,,,./0.png
-0.1247173,49.2886492999873,104,n1395447185,"1395447185",node,,3 chaises longues,./0.png
-0.1248165,49.2881841999873,105,n1395447184,"1395447184",node,,,./0.png
-0.1156772,49.2931539999873,106,n2244481101,"2244481101",node,,,./0.png
-0.1249548,49.2893970999873,107,n1395447187,"1395447187",node,,,./0.png
-0.1248968,49.2888454999873,108,n1395447186,"1395447186",node,,,./0.png
-0.1317796,49.2904399999873,109,n5019981676,"5019981676",node,,,./0.png
-0.1319204,49.2905939999873,110,n5019981675,"5019981675",node,,,./0.png
