X,Y,geo_borne,annee,object_rid,creat_date,update_dat,lot,icon_url
-0.112447325052183,49.2401815424924,"6427","2020",Objet_376814,2003/02/10,2014/03/03,NCPA,
-0.141467360846505,49.2842856118085,"6428","2020",Objet_2150345,2010/12/07,2014/03/03,NCPA,
-0.141458561131761,49.2840121642521,"6429","2020",Objet_2150430,2010/12/07,2014/03/03,NCPA,
-0.141531296078555,49.2842311368738,"6430","2020",Objet_2150432,2010/12/07,2014/03/03,NCPA,
-0.141441433289342,49.2842437330199,"6431","2020",Objet_2150434,2010/12/07,2014/03/03,NCPA,
-0.141232692103878,49.2843774598988,"6432","2020",Objet_2150346,2010/12/07,2014/03/03,NCPA,
-0.141218388053217,49.2843299704247,"6433","2020",Objet_2150436,2010/12/07,2014/03/03,NCPA,
-0.141868448540787,49.2879566605618,"6434","2020",Objet_2050964,2010/06/23,2014/03/03,NCPA,
-0.141814711416728,49.2877945922289,"6435","2020",Objet_2050965,2010/06/23,2014/03/03,NCPA,
-0.141758962542575,49.2876198011065,"6436","2020",Objet_2050988,2010/06/23,2014/03/03,NCPA,
-0.141765927434992,49.2876189899778,"6437","2020",Objet_2050989,2010/06/23,2014/03/03,NCPA,
-0.141785445283748,49.287704668891,"6438","2020",Objet_2050990,2010/06/23,2014/03/03,NCPA,
-0.142051002251869,49.2876704037663,"6439","2020",Objet_2050991,2010/06/23,2014/03/03,NCPA,
-0.141709077095565,49.2874554732106,"6440","2020",Objet_2050992,2010/06/23,2014/03/03,NCPA,
-0.141363143316996,49.2878526828794,"6441","2020",Objet_2050966,2010/06/23,2014/03/03,NCPA,
-0.141306994888591,49.2876780819317,"6442","2020",Objet_2050973,2010/06/23,2014/03/03,NCPA,
-0.160741899728865,49.1839702343498,"6443","2020",Objet_18114,2010/01/05,2014/03/03,NCPA,
-0.04528622017832,49.2329397323785,"6444","2020",Objet_585880,2012/09/10,2014/12/01,NCPA,
-0.044884299270182,49.2330993217718,"6445","2020",Objet_583125,2012/09/10,2014/12/01,NCPA,
-0.044731027763365,49.2332470503661,"6446","2020",Objet_585846,2012/09/10,2014/12/01,NCPA,
-0.041101539350187,49.2333947374878,"6447","2020",Objet_482392,2008/11/18,2014/03/03,NCPA,
-0.044699013280667,49.2335804649972,"6448","2020",Objet_585829,2012/09/10,2014/12/01,NCPA,
-0.044733962448869,49.2337865947473,"6449","2020",Objet_890084,2012/09/10,2014/12/01,NCPA,
-0.039202922776539,49.2338763573002,"6450","2020",Objet_118738,2012/09/10,2014/12/01,NCPA,
-0.039977260977419,49.2345169997797,"6451","2020",Objet_289695,2010/02/08,2014/03/03,NCPA,
-0.040267929836686,49.2338180080462,"6452","2020",Objet_482390,2008/11/18,2014/03/03,NCPA,
-0.040636609038858,49.2336535154833,"6453","2020",Objet_482391,2008/11/18,2014/03/03,NCPA,
-0.040619929533949,49.2335848422351,"6454","2020",Objet_482393,2008/11/18,2014/03/03,NCPA,
-0.040701675756419,49.2336619501072,"6455","2020",Objet_482394,2008/11/18,2014/03/03,NCPA,
